Time Period,Bank credit,Securities in bank credit,Treasury and agency securities,Treasury and agency securities: Mortgage-backed securities (MBS),Treasury and agency securities: Non-MBS,Other securities,Other securities: Mortgage-backed securities,Other securities: Non-MBS,Loans and leases in bank credit,Commercial and industrial loans,Real estate loans,Real estate loans: Residential real estate loans,Real estate loans: Residential real estate loans: Revolving home equity loans,Real estate loans: Residential real estate loans: Closed-end residential loans,Real estate loans: Commercial real estate loans,Real estate loans: Commercial real estate loans: Construction and land development loans,Real estate loans: Commercial real estate loans: Secured by farmland,Real estate loans: Commercial real estate loans: Secured by multifamily properties,Real estate loans: Commercial real estate loans: Secured by nonfarm nonresidential properties,Consumer loans,Consumer loans: Credit cards and other revolving plans,Consumer loans: Other consumer loans,Consumer loans: Other consumer loans: Automobile loans,Consumer loans: Other consumer loans: All other consumer loans,Other loans and leases: All other loans and leases,Other loans and leases: All other loans and leases: Loans to nondepository financial institutions,Other loans and leases: All other loans and leases: Other loans not elsewhere classified,LESS: Allowance for loan and lease losses,Cash assets,Total fed funds sold and securities purchased under agreements to resell,Loans to commercial banks,Other assets,Total assets,Deposits,Large time deposits,Other deposits,Borrowings,Net due to related foreign offices,Other liabilities,Total liabilities,Residual (assets less liabilities)
1975-04,683990.9,180546.8,96646,,,83900.8,,,503444.1,174920.7,130445.6,,,,,,,,,100184.3,,,,,97893.5,,,,90606.1,,2850.6,46230.7,851736.9,717211.1,,,60543.6,,26367.4,799497.4,52239.5
1975-05,685377.3,182388.7,98416.4,,,83972.3,,,502988.6,173391.4,130677.3,,,,,,,,,100404.5,,,,,98515.3,,,,90529.9,,2736.2,45564.7,849393.7,715703.9,,,59987.6,,25819.1,796816.1,52577.5
1975-06,690254.7,186178,101807.8,,,84370.2,,,504076.6,172197.5,131168,,,,,,,,,100763,,,,,99948,,,,92065.9,,2707.5,46789.9,859901.5,726458.3,,,61103,,25770.5,807975.1,51926.4
1975-07,691808.5,187710.3,102949,,,84761.2,,,504098.3,171268.1,131444.3,,,,,,,,,101377.6,,,,,100008.3,,,,89871.7,,2738,45010.9,854937.9,722849.1,,,61413.7,,24853.5,803449.1,51488.9
1975-08,694426.4,190844.6,105597.5,,,85247.1,,,503581.8,169325.9,131846.2,,,,,,,,,102459.4,,,,,99950.3,,,,87448.4,,2611.4,45579,853571.6,721915.9,,,58774.7,,25415.2,800766.9,52804.8
1975-09,700347,194908.4,109787.5,,,85120.9,,,505438.6,169343.7,132517.9,,,,,,,,,103345.4,,,,,100231.6,,,,88841.2,,2774.5,47613.4,863135.3,729905.4,,,58819.1,,26439.2,809730.8,53404.4
1975-10,702626.7,196247.9,110151.5,,,86096.4,,,506378.8,169084.2,133282.1,,,,,,,,,103974.3,,,,,100038.3,,,,91848.4,,2777.7,48367.3,870037.5,737551.5,,,58436.8,,25996.2,816572.5,53465
1975-11,705437.1,199064.8,112726.7,,,86338.1,,,506372.3,169324.9,133828.8,,,,,,,,,104299.9,,,,,98918.7,,,,95510.4,,2729.8,49593.1,880243.4,744951.5,,,61922.7,,25871.1,827152.2,53091.2
1975-12,716057.9,203124.3,117043.3,,,86081,,,512933.6,171105.5,134280.2,,,,,,,,,105057.3,,,,,102490.6,,,,97663.4,,2643.5,47029,889839.1,756407.5,,,60293,,25495.6,836709.5,53129.6
1976-01,710454.2,203682.9,118626.8,,,85056,,,506771.4,168512.9,135297.3,,,,,,,,,105373,,,,,97588.3,,,,94270.1,,2609.2,47669.8,881756.2,748167.1,,,62838.1,,24299.3,829026.7,52729.5
1976-02,709513.8,204551.9,119787.2,,,84764.7,,,504961.9,166717.2,135895,,,,,,,,,104883,,,,,97466.7,,,,94706.8,,2610.8,49279.1,882810.6,745839.3,,,65059.9,,25267,829546.8,53263.8
1976-03,715618.1,207298.6,122899.3,,,84399.3,,,508319.4,165684.3,137112.2,,,,,,,,,104995.9,,,,,100527,,,,92297.4,,2722.2,46557.1,884680,750641.2,,,62061.2,,24107.6,830303,54377
