Time Period,Bank credit,Securities in bank credit,Treasury and agency securities,Treasury and agency securities: Mortgage-backed securities (MBS),Treasury and agency securities: Non-MBS,Other securities,Other securities: Mortgage-backed securities,Other securities: Non-MBS,Loans and leases in bank credit,Commercial and industrial loans,Real estate loans,Real estate loans: Residential real estate loans,Real estate loans: Residential real estate loans: Revolving home equity loans,Real estate loans: Residential real estate loans: Closed-end residential loans,Real estate loans: Commercial real estate loans,Real estate loans: Commercial real estate loans: Construction and land development loans,Real estate loans: Commercial real estate loans: Secured by farmland,Real estate loans: Commercial real estate loans: Secured by multifamily properties,Real estate loans: Commercial real estate loans: Secured by nonfarm nonresidential properties,Consumer loans,Consumer loans: Credit cards and other revolving plans,Consumer loans: Other consumer loans,Consumer loans: Other consumer loans: Automobile loans,Consumer loans: Other consumer loans: All other consumer loans,Other loans and leases: All other loans and leases,Other loans and leases: All other loans and leases: Loans to nondepository financial institutions,Other loans and leases: All other loans and leases: Other loans not elsewhere classified,LESS: Allowance for loan and lease losses,Cash assets,Total fed funds sold and securities purchased under agreements to resell,Loans to commercial banks,Other assets,Total assets,Deposits,Large time deposits,Other deposits,Borrowings,Net due to related foreign offices,Other liabilities,Total liabilities,Residual (assets less liabilities)
1987-08,1584074.6,317330.2,188327.3,,,129002.8,,,1266744.4,385465.4,428312.1,,24674.7,,,,,,,307994.5,,,,,144972.4,,,44458.4,188018.5,,32833.8,124390.9,2014548,1505954.1,231666.2,1274288,292020.9,,42453.7,1823879.5,190668.5
1987-09,1600567.3,318834.7,189171.4,,,129663.3,,,1281732.6,387733.1,433257.5,,25877.9,,,,,,,312052,,,,,148689.9,,,44695.3,196473.8,,32389.5,129028.5,2043167.7,1516525.5,232998.8,1283526.7,301340,,46869.3,1852819.7,190348
1987-10,1612241.2,317387.7,188799.8,,,128587.9,,,1294853.5,390518.5,439721.4,,26650.3,,,,,,,313576.7,,,,,151036.8,,,44499.8,198186.4,,33308.7,132080.1,2067740.4,1529503.4,239128.5,1290375,309621.1,,54471.2,1877756.2,189984.2
1987-11,1617187.5,321745.3,191996.6,,,129748.7,,,1295442.2,392431.6,444444.2,,27455.5,,,,,,,314659.8,,,,,143906.6,,,44793.5,198345.6,,33699.2,127730.9,2069133.9,1536725.2,242945.3,1293779.9,303345.3,,52335.9,1874010,195124
1987-12,1631737.2,324397.6,193368.8,,,131028.8,,,1307339.6,394881,449701.4,,28319.8,,,,,,,319343.1,,,,,143414.1,,,44902.2,203516.7,,33333.6,123685.7,2075164.2,1549371.1,245183.7,1304187.4,298838.2,,53406.4,1882147.2,193017.1
1988-01,1637357.1,326279.6,194788.1,,,131491.6,,,1311077.5,393665.1,453338.6,,29497.3,,,,,,,322081.4,,,,,141992.4,,,46317.8,204910.2,,32703.9,119076.5,2080676.7,1552500.3,245690.1,1306810.2,306612.6,,46738.8,1884541.7,196135
1988-02,1640926,329129.7,198076.5,,,131053.2,,,1311796.3,394964.8,454889,,30167.3,,,,,,,320809.2,,,,,141133.3,,,46446.3,193944.2,,32517.6,120648.9,2078576.4,1544520.1,246619.1,1297900.9,315699.6,,44952.9,1879320.2,199256.2
1988-03,1650111.3,329883.3,198066.5,,,131816.8,,,1320228.1,398356.6,458310.7,,30586.7,,,,,,,322104,,,,,141456.8,,,46609.6,188821.3,,33174,120487.2,2080480.8,1547786.6,248213.5,1299573.1,321083.4,,45850,1885301.2,195179.5
1988-04,1665317.1,331334.4,199413,,,131921.3,,,1333982.7,403966.7,463046.9,,31356.5,,,,,,,326075.8,,,,,140893.3,,,47054,192524.8,,34094.6,121993.9,2107572.2,1565405.4,246357.6,1319047.9,329364.1,,44720.8,1910114.7,197457.5
1988-05,1677965,332920.3,200647.4,,,132273,,,1345044.7,406437.4,469066.7,,32169.7,,,,,,,328405.9,,,,,141134.7,,,46831.4,196073.4,,34480.4,123480.4,2117161.9,1569249.8,247069.6,1322180.2,330083,,51417.2,1923275,193886.9
1988-06,1689652.9,334369.7,202861.8,,,131507.9,,,1355283.2,406928.6,474573.2,,32961.1,,,,,,,330707.7,,,,,143073.8,,,46624.5,198013.9,,33561.5,125454.8,2137590.6,1584994.7,248026.6,1336968.1,327614.6,,49963.2,1937549.3,200041.3
1988-07,1697253.5,333544.1,201701.5,,,131842.6,,,1363709.3,407146.6,480519.9,,33687.9,,,,,,,332356.5,,,,,143686.3,,,46119.3,197954.8,,33771.5,127681.4,2144144.1,1590625,249791.8,1340833.2,324668.4,,52890.9,1945877.1,198267
1988-08,1706399.2,335053.2,203236.9,,,131816.3,,,1371346,405998.2,486426.4,,34546.5,,,,,,,335335.4,,,,,143586,,,46647.6,189536,,35138.5,128281.1,2142431.7,1587541.4,254616.7,1332924.6,318683,,58208.6,1946088.4,196343.3
1988-09,1713577.3,336177.9,204499.4,,,131678.5,,,1377399.4,404636.7,491460.1,,35573.8,,,,,,,338710.4,,,,,142592.2,,,46668.9,197285.9,,31723.8,132463.7,2158157.5,1595606.9,258785.9,1336821,328080.4,,57517.5,1960966.5,197190.9
1988-10,1722085.3,337071.3,206069.6,,,131001.7,,,1385014.1,406693.1,496837.3,,36376,,,,,,,340302.4,,,,,141181.4,,,45736.4,198614.7,,31263.5,135240.2,2174531.7,1607824.5,261845.9,1345978.6,332133.7,,55854.5,1973237.7,201294
1988-11,1732592.4,340607.1,209226.5,,,131380.5,,,1391985.3,408975.7,499792,,37174.8,,,,,,,341914.3,,,,,141303.4,,,46114.4,200906,,33015.9,133624.6,2188377.6,1623120,263437,1359683,327578.3,,55006.6,1981768.8,206608.8
1988-12,1741320.9,340112.5,208541.7,,,131570.9,,,1401208.4,409788.6,503413.8,,37784.8,,,,,,,347432.1,,,,,140573.9,,,45990.4,208096.4,,32114.1,135735.2,2204099.1,1641025.6,265377.5,1375648.1,326410.5,,55070.2,1995187,208912.1
1989-01,1741855.9,338269.8,210091.4,,,128178.5,,,1403586.1,409530.8,508049.2,,38391,,,,,,,348224.4,,,,,137781.6,,,43014.3,209679,,31612.3,132516.5,2206295.3,1640159.6,267808.2,1372351.4,334653.3,,56891.1,2004096.3,202199
1989-02,1748192.8,338938.1,213067.2,,,125870.8,,,1409254.8,414560,511422.9,,39105,,,,,,,345342.3,,,,,137929.6,,,43520.7,194646.4,,31760.9,135598.8,2211185.8,1634818.1,270803.1,1364015,339428.5,,58417.5,2007203.1,203982.8
1989-03,1753021.2,339790.6,216731.8,,,123058.8,,,1413230.6,416118.8,515680,,39723.2,,,,,,,344528.6,,,,,136903.1,,,43316.2,188859.5,,28345.4,141186.7,2208978.8,1637873.2,276762.6,1361110.6,331958.7,,57497,2002629.4,206349.4
1989-04,1768008.8,340390.1,218158.2,,,122231.9,,,1427618.7,419051,523359.9,,40526.2,,,,,,,346249.7,,,,,138958.1,,,42442.7,187797.8,,29016,144284,2218503.4,1650037.4,278771.5,1371265.9,330393,,56151.8,2008762.2,209741.2
1989-05,1782279.5,342282,220749.5,,,121532.5,,,1439997.5,422664.5,528586.8,,41476.5,,,,,,,348537.6,,,,,140208.6,,,42681.7,188509.3,,30369.3,142652.4,2225214.2,1639662.3,279054.6,1360607.7,347192.7,,53982.6,2013598.2,211616
1989-06,1792836.7,342568.5,222297,,,120271.5,,,1450268.2,421091.4,534874.2,,42442,,,,,,,349516.7,,,,,144785.8,,,42742.4,184769.4,,28819.1,142703.3,2231662.7,1646545.5,280370.7,1366174.8,344127.8,,55800.8,2017637.6,214025.1
1989-07,1804856.8,342618.6,224390.3,,,118228.2,,,1462238.3,422143.1,541775.8,,43221.7,,,,,,,350822.5,,,,,147496.8,,,41879.8,190545.7,,30549.7,143440.1,2253474.4,1662626.5,282094,1380532.5,344538.9,,57103.7,2037534.9,215939.4
1989-08,1817424.4,346070.3,229047.5,,,117022.8,,,1471354.1,422120.5,549073.2,,44214.4,,,,,,,353791.2,,,,,146369.3,,,41880.6,184062.8,,31729.7,142907.6,2260931.1,1660888.8,284214.2,1376674.7,346553,,57812.1,2043525.9,217405.2
1989-09,1831545.1,347085.9,230638.8,,,116447.1,,,1484459.2,422330.9,556595,,45191.2,,,,,,,357550.1,,,,,147983.2,,,42700.9,193162.9,,30340.8,145885.7,2287614.2,1676187.6,284830.9,1391356.7,353253.4,,57589,2067949.5,219664.7
1989-10,1848552.5,354713.7,237774.7,,,116939,,,1493838.9,425342.2,561181.4,,45983.6,,,,,,,357984.5,,,,,149330.9,,,48959.2,197656.3,,32253.7,145605.4,2311817,1695042.9,285595,1409447.8,360885.6,,57274.9,2092398.9,219418.1
1989-11,1856237.8,359377.7,243180.9,,,116196.8,,,1496860.2,425209.4,566171.7,,46666.3,,,,,,,360084.9,,,,,145394.1,,,49240.7,194011.2,,33201.7,144579.9,2323384,1704246.7,285451.8,1418794.9,360915.5,,48840.6,2090316,233068.1
1989-12,1865746.4,359516.7,243734.4,,,115782.3,,,1506229.7,425160.6,570696.1,,47360.9,,,,,,,364905.4,,,,,145467.6,,,49487.2,208228.2,,32560.2,143926.1,2347513.2,1729520.5,283970.2,1445550.3,361847,,48397.5,2113110.4,234402.8
1990-01,1872130.2,366534.5,251859.1,,,114675.3,,,1505595.7,423425.8,572579.7,,48179.9,,,,,,,366384.7,,,,,143205.6,,,48881.1,206225.1,,35592.2,145490.1,2349535.9,1727730.8,281306.6,1446424.2,361786.3,,52401,2119030.8,230505.1
