Time Period,Bank credit,Securities in bank credit,Treasury and agency securities,Treasury and agency securities: Mortgage-backed securities (MBS),Treasury and agency securities: Non-MBS,Other securities,Other securities: Mortgage-backed securities,Other securities: Non-MBS,Loans and leases in bank credit,Commercial and industrial loans,Real estate loans,Real estate loans: Residential real estate loans,Real estate loans: Residential real estate loans: Revolving home equity loans,Real estate loans: Residential real estate loans: Closed-end residential loans,Real estate loans: Commercial real estate loans,Real estate loans: Commercial real estate loans: Construction and land development loans,Real estate loans: Commercial real estate loans: Secured by farmland,Real estate loans: Commercial real estate loans: Secured by multifamily properties,Real estate loans: Commercial real estate loans: Secured by nonfarm nonresidential properties,Consumer loans,Consumer loans: Credit cards and other revolving plans,Consumer loans: Other consumer loans,Consumer loans: Other consumer loans: Automobile loans,Consumer loans: Other consumer loans: All other consumer loans,Other loans and leases: All other loans and leases,Other loans and leases: All other loans and leases: Loans to nondepository financial institutions,Other loans and leases: All other loans and leases: Other loans not elsewhere classified,LESS: Allowance for loan and lease losses,Cash assets,Total fed funds sold and securities purchased under agreements to resell,Loans to commercial banks,Other assets,Total assets,Deposits,Large time deposits,Other deposits,Borrowings,Net due to related foreign offices,Other liabilities,Total liabilities,Residual (assets less liabilities)
1987-11,1611949.9,318827.1,190151.2,,,128675.9,,,1293122.8,393051.5,443093.1,,27349.5,,,,,,,314117.2,,,,,142861,,,44633.8,193059.9,,34222.2,128372.5,2055896.8,1530030.5,242077,1287953.5,300752.9,,50487.2,1861414.9,194481.8
1987-12,1622911.6,323165.9,194097.8,,,129068.1,,,1299745.7,393919.3,448475.5,,28190.2,,,,,,,316047.3,,,,,141303.6,,,44742.8,191249.4,,32728.5,124768.3,2052500.9,1531239,244144.6,1287094.4,296355.7,,49037.9,1856375.2,196125.7
1988-01,1634219.9,325087.3,194101.4,,,130985.9,,,1309132.6,394333.6,453027.9,,29300.8,,,,,,,319394.8,,,,,142376.5,,,46498.2,196429.5,,31605.8,123740.1,2071000,1542305.3,245052.7,1297252.6,301036.9,,48678.4,1870276.9,200723.2
1988-02,1638250,325217.8,194505.3,,,130712.5,,,1313032.3,393905.1,456013.3,,29996.2,,,,,,,320815.5,,,,,142298.4,,,46094.9,196670.6,,32182.1,122444.7,2076722,1546475.2,245742.6,1300732.6,306910,,48841.7,1876979.7,199742.4
1988-03,1652961.5,329151.1,196450.6,,,132700.5,,,1323810.3,396562.5,460066.7,,30638.3,,,,,,,324241,,,,,142940.2,,,46124,194328.1,,32829.5,120838.6,2086784.2,1553867.2,246815.5,1307051.6,318308.3,,46657.4,1889902.4,196881.8
1988-04,1667501.7,332338.1,199849.7,,,132488.4,,,1335163.6,400711.3,464743.9,,31455.2,,,,,,,327931.1,,,,,141777.4,,,47095.1,194765.9,,33826.1,120232.3,2106301.8,1562440.4,246912.1,1315528.3,323642.2,,44799.3,1902915.5,203386.3
1988-05,1679948.9,334708.1,201881,,,132827.1,,,1345240.8,403042.6,470162.9,,32300.9,,,,,,,329520.5,,,,,142514.8,,,46612.7,198902,,33714.1,123335.8,2126407.9,1579339.5,248255.6,1331083.9,325969.9,,50913.4,1929787.4,196620.5
1988-06,1693050.1,338252.3,205560.8,,,132691.5,,,1354797.8,405771.9,475043.2,,33127,,,,,,,331820.7,,,,,142162,,,46492.6,200096.6,,34128.4,125191.7,2145807.8,1587284.3,249621.7,1337662.6,327063.8,,48878.8,1939711.6,206096.2
1988-07,1703487.7,337031.1,203815.4,,,133215.7,,,1366456.6,408406.2,480387.7,,33975.9,,,,,,,333927.7,,,,,143735,,,46680.3,200948.3,,34063.3,127020.2,2155987.8,1594617.7,251726.5,1342891.2,327484.4,,53395.4,1954351.6,201636.2
1988-08,1709229.6,335364.2,203701.2,,,131663,,,1373865.4,408851.2,485690.5,,34655.4,,,,,,,335805.1,,,,,143518.6,,,47100.1,197310.5,,35263.5,128525.3,2155942.9,1596670.4,254824.8,1341845.6,323138.8,,58329.6,1959032.7,196910.2
1988-09,1713818.8,335924.2,204640.9,,,131283.3,,,1377894.5,408311.7,490511,,35433,,,,,,,337609.9,,,,,141461.9,,,46826.8,198054.4,,32824.9,129861.2,2159600.2,1599360.5,258296.2,1341064.3,324164.2,,57022.2,1958834.6,200765.7
1988-10,1720520.1,336458.3,205793.8,,,130664.6,,,1384061.8,408422.7,495082,,36152.9,,,,,,,339919.9,,,,,140637.2,,,46028.1,197633.9,,32351.9,131736.4,2170107.5,1608066.5,260739.3,1347327.3,325555.4,,56632.9,1966662.8,203444.7
1988-11,1726560.1,337650.5,207099.1,,,130551.4,,,1388909.6,409335.1,497990.8,,36946.6,,,,,,,341435.7,,,,,140147.9,,,45949.5,195593.8,,33290.3,133796.3,2174672.8,1616362.6,262223.7,1354138.9,323916.4,,53065.3,1968262.4,206410.5
1988-12,1733393.5,339584.6,209533.6,,,130051,,,1393808.9,409205.5,501976.7,,37610.8,,,,,,,343783.5,,,,,138843.2,,,45758.1,195615.6,,31381.8,137012.1,2182234.4,1621999.2,264649.1,1357350.2,323795.2,,50436,1968386,213848.4
1989-01,1740130,337603.3,209838.5,,,127764.8,,,1402526.7,410994.5,508050.3,,38217.8,,,,,,,345215.8,,,,,138266.1,,,43165.5,201142.5,,30411.6,137534.6,2198305.5,1630766.8,267895.1,1362871.7,328974.3,,58293.1,1990129.2,208176.2
1989-02,1746869.9,335604.5,209969.8,,,125634.7,,,1411265.4,414014.3,513109.4,,39051.3,,,,,,,345079.6,,,,,139062.1,,,43135.9,197619.9,,31391.5,137607.6,2210721.2,1637998.7,270677.3,1367321.4,330074,,61301.7,2004295.8,206425.4
1989-03,1756471.3,338894.6,215107.3,,,123787.2,,,1417576.8,414442.1,517935.8,,39950.4,,,,,,,346649.4,,,,,138549.5,,,42789.4,194329.9,,28031.8,141915.7,2215902,1643976,275662.8,1368313.3,328258.6,,58285.7,2006083.1,209818.9
1989-04,1770239.6,340933.4,218385.2,,,122548.2,,,1429306.3,415625.9,525272.1,,40784.2,,,,,,,348369,,,,,140039.3,,,42496.1,190204,,28996.4,142725.5,2217940.7,1646594.8,279369.3,1367225.4,324665.5,,56883.6,2001179.6,216761.1
1989-05,1783978.2,343647.3,221916.7,,,121730.6,,,1440330.9,419234,529591.7,,41690.8,,,,,,,349909.4,,,,,141595.7,,,42437.2,191439.5,,29883.9,142683.3,2235645.9,1649540.9,280185.7,1369355.2,343608.7,,53875.6,2020185.5,215460.5
1989-06,1795778,345720.2,224674.5,,,121045.7,,,1450057.8,419944.8,535217.9,,42624.2,,,,,,,350817.5,,,,,144077.6,,,42602.8,186605.8,,29505.1,142532.5,2239508.8,1649555.1,281858.6,1367696.5,342174.7,,55316.9,2019155,220353.9
1989-07,1811061.1,346173.8,226755,,,119418.8,,,1464887.3,423131.7,541608.8,,43443.4,,,,,,,352582.1,,,,,147564.7,,,42504.2,193086.1,,30865.8,142493.9,2264520.9,1666739.9,283593.5,1383146.3,347277,,57540.7,2045589.2,218931.7
1989-08,1819662,346537.4,229497.9,,,117039.5,,,1473124.6,424774.2,548267.6,,44222.2,,,,,,,354185.9,,,,,145896.9,,,42299.1,191215.9,,31857.1,142743.5,2272430,1669122.5,283680.2,1385442.4,350430.4,,57918.6,2055377.9,217052
1989-09,1830691.1,346646.4,230505,,,116141.4,,,1484044.7,425700.9,555400.5,,44931.8,,,,,,,356195.2,,,,,146748.1,,,42882.6,193629.6,,31478.9,142794.3,2286215.8,1679711.6,284066.9,1395644.6,347723.6,,57296.3,2064741.3,221474.5
1989-10,1845415.7,353616.6,236917.9,,,116698.6,,,1491799.1,426693.5,559220.9,,45592,,,,,,,357535.4,,,,,148349.4,,,49312.9,197202.8,,33233.4,141963.1,2305926,1695206.2,284417,1410789.2,353790,,57516.7,2084920.8,221005.2
1989-11,1849289.8,356253.9,240679,,,115575,,,1493035.8,425234,563961.1,,46353.2,,,,,,,359718.9,,,,,144121.8,,,49054.4,188931.4,,33211.5,144184.9,2308747,1697026.3,284134.4,1412891.9,356099.2,,46860.2,2075409.9,233337.1
1989-12,1858547,359674.9,244914.3,,,114760.6,,,1498872.1,425010.9,568927.2,,47170.3,,,,,,,361072.8,,,,,143861.2,,,49194.2,195771.6,,31469.8,145538.9,2324917.3,1709117.6,283647.1,1425470.5,359286,,43457.5,2085061.4,239855.9
1990-01,1872203.3,366824.1,252407.5,,,114416.6,,,1505379.2,425647,572835.5,,48029,,,,,,,363135,,,,,143761.7,,,49050.1,197840.8,,34062.2,150896.4,2342880.5,1719862.4,282151,1437711.3,356594.9,,53660.1,2107064.4,235816.1
1990-02,1881534.8,371041.9,257081.6,,,113960.3,,,1510492.9,424616.4,579564.8,,48768.9,,,,,,,362558.6,,,,,143753.1,,,48862,190647.3,,34815,148425.5,2342873.5,1722643.9,281456.2,1441187.7,355745.9,,48503.1,2105156.2,237717.3
1990-03,1888513.3,372002.8,259507.2,,,112495.6,,,1516510.5,426512.4,585132.4,,49553.7,,,,,,,362084.5,,,,,142781.2,,,48661.9,190636.8,,35400.1,148272.8,2352040.7,1729216.3,281621.9,1447594.4,361577.4,,52731,2122878.8,229161.9
1990-04,1892210.3,372117.2,261229.4,,,110887.8,,,1520093.1,427820.4,589267,,50259.8,,,,,,,360942.6,,,,,142063.1,,,48446.4,191386.6,,35849.7,148531.3,2360350.1,1734399.9,279541.3,1454858.6,361230.8,,45210.5,2124884.7,235465.3
1990-05,1899756.4,374401.7,263898.9,,,110502.8,,,1525354.7,427168.6,595341.5,,51112.8,,,,,,,362217.9,,,,,140626.6,,,48386,189462.4,,36142.6,149885.1,2360369,1739399.5,278110.4,1461289,355714.1,,56803.7,2139971,220398
1990-06,1908775,378856.2,269285.9,,,109570.3,,,1529918.8,427312.2,600139.8,,51994.1,,,,,,,361623.5,,,,,140843.4,,,47880.3,191526,,36372.3,152897.3,2381787.6,1750078.9,277311.7,1472767.2,359061.5,,52150.9,2149070.3,232717.2
1990-07,1914030.7,381529,272627.3,,,108901.7,,,1532501.7,427364.3,606105.5,,53054.7,,,,,,,358594.5,,,,,140437.5,,,47199.6,191201.6,,35105.7,155310.2,2395793.1,1763487.6,278143.3,1485344.3,356010,,55111,2164725.1,231068
1990-08,1920779.3,382898,273978.3,,,108919.7,,,1537881.3,427916.1,609258.2,,54083.3,,,,,,,360044.4,,,,,140662.6,,,46838.3,190163.6,,35950.6,158055.9,2416190.6,1768095.9,274988.4,1493107.5,368186.9,,46264.1,2172558.1,243632.5
1990-09,1921819.3,384348.9,275777,,,108571.8,,,1537470.4,426059.6,611424,,54789.2,,,,,,,360580.3,,,,,139406.4,,,46581.7,184480.3,,35279.5,161474,2409276.9,1768573.3,272380,1496193.3,355654.3,,39503.5,2154118.2,255158.7
1990-10,1923322.3,384570.9,277651.4,,,106919.6,,,1538751.3,423948.8,614006.8,,55998.7,,,,,,,361584.5,,,,,139211.2,,,47986.8,180066.3,,36059.9,159133.7,2395122.5,1765758.1,270468.4,1495289.7,345829.9,,42604.1,2143003.2,252119.4
1990-11,1923423.9,383648.1,277150.5,,,106497.6,,,1539775.8,423119.7,617473.7,,56942.5,,,,,,,361369.3,,,,,137813.1,,,48394.7,178418,,37174.9,158617.5,2393375.1,1766208,269194.4,1497013.6,347550.4,,28515.9,2126649.3,266725.9
1990-12,1925973.1,383343.4,277990.8,,,105352.6,,,1542629.7,421867.4,620865.2,,57561.2,,,,,,,361967,,,,,137930.2,,,48574.1,175863.6,,35663.1,160085.5,2392984.5,1777299.5,267131.9,1510167.5,334505.6,,39504.6,2128088.4,264896.2
1991-01,1920360.1,384849.9,278410.5,,,106439.5,,,1535510.2,418257.3,622435.1,,57988.4,,,,,,,357739.3,,,,,137078.5,,,50284.4,170150.8,,35148.9,168284.6,2379916.9,1772353.9,264731.9,1507622,325136.4,,47705.9,2119490.5,260426.4
1991-02,1924860.1,388113.8,280613.1,,,107500.7,,,1536746.3,416732.8,625935.1,,59070.8,,,,,,,357091.8,,,,,136986.5,,,49450.1,172274.8,,36099.7,171267.1,2397496.9,1781432.5,260935.4,1520497.1,327676,,44248.4,2131660.3,265836.6
